web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1562682013-634","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Gerardo Gonzalez","Great phone, but Amazon let me down this time.","June 17, 2019","The phone itself is  5/5 stars, but Amazon's service was not so good.

The phone was opened on arrival (eg. seals were broken). Fortunately, the contents was intact.
Shipping took two more days than expected because UPS sucks and refused to make a second delivery attempt.

As for the Pixel itself, it is a great phone. I love the fact that it will have the latest android every time and it has a headphone jack! The plastic back doesn't feel cheap or flimsy. Besides, 99% of people use a case anyway. Having a glass or aluminum  back is pointless.

Overall great phone, this is no nexus but it's up there.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1562682002-607","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","YR","Great Phone","May 16, 2019","I've been using the 3a for just under a week and am just really happy with it. I'm not one to spend $1K on a flagship phone, but the camera is very important to me, which often is a problem in more budget-aimed phones. With the 3a, the camera quality is spectacular.

They've also returned the headphone jack, something I hope to see more of. Either that, or twin USB-C ports.

So far, I'd highly recommend this.","5.0 out of 5 stars","",""
"1562682026-664","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","carl scalf","Great phone for the value compared to other phones","June 21, 2019","Awesome phone worked right out of the box would buy again but don't plan to untill a upgrade is needed","5.0 out of 5 stars","Next page→","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews"
"1562682022-663","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","KARTIKYE GUPTA","Pretty gud device","June 24, 2019","I really like the look and camera","5.0 out of 5 stars","Next page→","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
"1562682017-646","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","lisa osmar","Pixel 3A","June 11, 2019","So excited about this phone.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1562682101-723","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Larry B","Pixel 3a","June 19, 2019","I'm happy with the phone.  Still learning the new features.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews"
"1562682109-742","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","K","Perfect phone for the non gamer.","June 15, 2019","This phone is the perfect phone for anyone who wants a great camera and clean OS with no software glitches. If you don't play games in your phone and you want a great camera, get this phone! Period
Camera is a 10
Battery life is a 10
Software is a 10
Size ( one handedness) is a 10
Screen is a 10
Speed is a 10 (is you don't play games)
Speakers are a 10
Reception both wifi and lte is a 10","5.0 out of 5 stars","Next page→","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews"
"1562682076-699","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","CamaroSSZ24","Great phone!","July 5, 2019","This is an amazing phone and I'm very impressed. The software is very good. Their claim of 7 hours of battery life after 15 minutes of charging is a little far fetched but it is still very good and I really don't find myself needing to charge more than once per day. The fingerprint scanner can sometimes be annoying when it doesn't recognize your finger but it's not often that it happens. All in all I'm very happy with it and am glad I got it. It could however have a little bit bigger battery because if you are a heavy streamer or play games alot I could see it needing charged at least twice per day. But if you are like me and just want a phone that works and is capable of playing a game like solitaire, Sudoku or watching a couple hours of video and still have the battery last all day than this phone is for you!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews"
"1562682005-620","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","I buy too much tech","Best budget phone for the every user!","June 30, 2019","A lot of the budget smartphones have to sacrifice somewhere. Pretty much all of them will have sub-par cameras, decent at best displays, and of course loads of bloatware. This makes finding a nicely priced phone for my mother a bit of a challenge because she is always after the best camera with a nice display but couldn't care less about the specs. The Pixel 3a shakes things up by going against all other budget phones; it has identical camera quality to the flagship Pixel 3 (in other words, the gold standard) a full HD OLED display and absolutely no bloatware to find! Instead the Pixel 3a forgoes the flagship processor, and and what I like to call ""XL cupholder add-ons"" (features that no one would ever say no to, but aren't necessary in a phone), so no official IP rating, no wide angle selfie camera, no wireless charging or glass back, and only one of the stereo speakers is front facing. I myself would find myself gravitating more towards OnePlus phones where performance is prioritized over things like camera quality, but for my mother and most other people out there who just want a good camera and a beautiful display, there is no better phone!

TL;DR best phone for anyone not absolutely obsessed with specs like me and uses their smartphone camera frequently (so 80% of the population)","5.0 out of 5 stars","Next page→","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1562682009-624","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","SuSeQ","No need to spend a $1000 bucks. This is a game changer.","June 15, 2019","Careful when buying these, mine was not Verizon compatible and had to return it even though the seller said it was. ""Completely unlocked"" does not mean it will work on US carriers. As far as the phone goes it's hands down the best $400 phone  on the market in 2019. The camera is amazing, battery life great and form factor perfect. As long as you get it here or from the manufacturer and not your carrier it comes with guaranteed three years of support. It's also easy to work on if it breaks.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/product-reviews/B07R7DY911/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
